SampleID,Group,watershedCode,Location,Metacode,Species,Species_code,SiteID,Creek,Sampling_Year,Starting_Material,Path,NewPath,Aligned,Filtered,Coverage,Diff,NewGroup
Y200116WKR_RA,Walker,BYDY,ByDayCreek,WALK_ByDay,Lahontan Cutthroat Trout,LCT,WALKER,Mill Creek,2020,fin clips,/home/amilzz/amilzz/data/alignWalkOnr17/Y200116WKR_RA.sort.flt.bam,bams/Y200116WKR_RA.sort.flt.bam,NA,1506688,0.101845,97084,Walker
Y200120WKR_RA,Walker,BYDY,ByDayCreek,WALK_ByDay,Lahontan Cutthroat Trout,LCT,WALKER,Mill Creek,2020,fin clips,/home/amilzz/amilzz/data/alignWalkOnr17/Y200120WKR_RA.sort.flt.bam,bams/Y200120WKR_RA.sort.flt.bam,NA,1501537,0.100703,102235,Walker
Y200065WKR_RA,Walker,MILL,MILL,WALK_Mill,Lahontan Cutthroat Trout,LCT,WALKER,Mill Creek,2020,fin clips,/home/amilzz/amilzz/data/alignWalker8_18/Y200065WKR_RA.sort.flt.bam,bams/Y200065WKR_RA.sort.flt.bam,NA,1670958,0.111931,67186,Walker
Y200066WKR_RA,Walker,MILL,MILL,WALK_Mill,Lahontan Cutthroat Trout,LCT,WALKER,Mill Creek,2020,fin clips,/home/amilzz/amilzz/data/alignWalker8_18/Y200066WKR_RA.sort.flt.bam,bams/Y200066WKR_RA.sort.flt.bam,NA,1643061,0.110435,39289,Walker
Y200067WKR_RA,Walker,MILL,MILL,WALK_Mill,Lahontan Cutthroat Trout,LCT,WALKER,Mill Creek,2020,fin clips,/home/amilzz/amilzz/data/alignWalker8_18/Y200067WKR_RA.sort.flt.bam,bams/Y200067WKR_RA.sort.flt.bam,NA,1630253,0.109503,26481,Walker
Y200077WKR_RA,Walker,MILL,MILL,WALK_Mill,Lahontan Cutthroat Trout,LCT,WALKER,Mill Creek,2020,fin clips,/home/amilzz/amilzz/data/alignWalker8_18/Y200077WKR_RA.sort.flt.bam,bams/Y200077WKR_RA.sort.flt.bam,NA,1520802,0.10221,82970,Walker
Y210003WKR_RA,Walker,MCT,MurphyCreek,WALK_Murphy,Lahontan Cutthroat Trout,LCT,WALKER,Murphy Creek,2020,fin clips,/home/amilzz/amilzz/data/alignWalkOnr17/Y210003WKR_RA.sort.flt.bam,bams/Y210003WKR_RA.sort.flt.bam,NA,1501276,0.101591,102496,Walker
Y210005WKR_RA,Walker,MCT,MurphyCreek,WALK_Murphy,Lahontan Cutthroat Trout,LCT,WALKER,Murphy Creek,2020,fin clips,/home/amilzz/amilzz/data/alignWalkOnr17/Y210005WKR_RA.sort.flt.bam,bams/Y210005WKR_RA.sort.flt.bam,NA,1642123,0.11122,38351,Walker
Y210019WKR_RA,Walker,MCT,MurphyCreek,WALK_Murphy,Lahontan Cutthroat Trout,LCT,WALKER,Murphy Creek,2020,fin clips,/home/amilzz/amilzz/data/alignWalkOnr17/Y210019WKR_RA.sort.flt.bam,bams/Y210019WKR_RA.sort.flt.bam,NA,1605791,0.108698,2019,Walker
Y210026WKR_RA,Walker,MCT,MurphyCreek,WALK_Murphy,Lahontan Cutthroat Trout,LCT,WALKER,Silver Creek,2020,fin clips,/home/amilzz/amilzz/data/alignWalkOnr17/Y210026WKR_RA.sort.flt.bam,bams/Y210026WKR_RA.sort.flt.bam,NA,1707842,0.115448,104070,Walker
Y210027WKR_RA,Walker,MCT,MurphyCreek,WALK_Murphy,Lahontan Cutthroat Trout,LCT,WALKER,Silver Creek,2020,fin clips,/home/amilzz/amilzz/data/alignWalkOnr17/Y210027WKR_RA.sort.flt.bam,bams/Y210027WKR_RA.sort.flt.bam,NA,1505408,0.101886,98364,Walker
Y200125WKR_RA,Walker,SLV,SilverCreek,WALK_Silver,Lahontan Cutthroat Trout,LCT,WALKER,Silver Creek,2020,fin clips,/home/amilzz/amilzz/data/alignWalkOnr17/Y200125WKR_RA.sort.flt.bam,bams/Y200125WKR_RA.sort.flt.bam,NA,1578397,0.106584,25375,Walker
Y200006WKR_RA,Walker,SKD,SKD,WALK_Slink,Lahontan Cutthroat Trout,LCT,WALKER,Slinkard Creek,2020,fin clips,/home/amilzz/amilzz/data/alignWalker8_18/Y200006WKR_RA.sort.flt.bam,bams/Y200006WKR_RA.sort.flt.bam,NA,1593574,0.106661,10198,Walker
Y200012WKR_RA,Walker,SKD,SKD,WALK_Slink,Lahontan Cutthroat Trout,LCT,WALKER,Slinkard Creek,2020,fin clips,/home/amilzz/amilzz/data/alignWalker8_18/Y200012WKR_RA.sort.flt.bam,bams/Y200012WKR_RA.sort.flt.bam,NA,1577685,0.104775,26087,Walker
Y200015WKR_RA,Walker,SKD,SKD,WALK_Slink,Lahontan Cutthroat Trout,LCT,WALKER,Slinkard Creek,2020,fin clips,/home/amilzz/amilzz/data/alignWalker8_18/Y200015WKR_RA.sort.flt.bam,bams/Y200015WKR_RA.sort.flt.bam,NA,1717244,0.11525,113472,Walker
Y200028WKR_RA,Walker,SKD,SKD,WALK_Slink,Lahontan Cutthroat Trout,LCT,WALKER,Wolf Creek,2020,fin clips,/home/amilzz/amilzz/data/alignWalker8_18/Y200028WKR_RA.sort.flt.bam,bams/Y200028WKR_RA.sort.flt.bam,NA,1539765,0.102389,64007,Walker
Y200042WKR_RA,Walker,WLF,WLF,WALK_Wolf,Lahontan Cutthroat Trout,LCT,WALKER,Wolf Creek,2020,fin clips,/home/amilzz/amilzz/data/alignWalker8_18/Y200042WKR_RA.sort.flt.bam,bams/Y200042WKR_RA.sort.flt.bam,NA,1672851,0.11244,69079,Walker
Y200045WKR_RA,Walker,WLF,WLF,WALK_Wolf,Lahontan Cutthroat Trout,LCT,WALKER,Wolf Creek,2020,fin clips,/home/amilzz/amilzz/data/alignWalker8_18/Y200045WKR_RA.sort.flt.bam,bams/Y200045WKR_RA.sort.flt.bam,NA,1612653,0.108434,8881,Walker
Y200055WKR_RA,Walker,WLF,WLF,WALK_Wolf,Lahontan Cutthroat Trout,LCT,WALKER,Wolf Creek,2020,fin clips,/home/amilzz/amilzz/data/alignWalker8_18/Y200055WKR_RA.sort.flt.bam,bams/Y200055WKR_RA.sort.flt.bam,NA,1661759,0.111758,57987,Walker
Y200059WKR_RA,Walker,WLF,WLF,WALK_Wolf,Lahontan Cutthroat Trout,LCT,WALKER,Wolf Creek,2020,fin clips,/home/amilzz/amilzz/data/alignWalker8_18/Y200059WKR_RA.sort.flt.bam,bams/Y200059WKR_RA.sort.flt.bam,NA,1632698,0.10956,28926,Walker
Y170012CAR_RA,Carson,CAR,EF,CAR_EFork,Lahontan Cutthroat Trout,LCT,CARSON,East Fork,2017,Extracted DNA,/home/amilzz/amilzz/data/alignCDFW02_libPla3/Y170012CAR_RA.sort.flt.bam,bams/Y170012CAR_RA.sort.flt.bam,NA,1479150,0.0992654,124622,Carson
Y170015CAR_RA,Carson,CAR,EF,CAR_EFork,Lahontan Cutthroat Trout,LCT,CARSON,East Fork,2017,Extracted DNA,/home/amilzz/amilzz/data/alignCDFW02_libPla3/Y170015CAR_RA.sort.flt.bam,bams/Y170015CAR_RA.sort.flt.bam,NA,1530601,0.102524,73171,Carson
Y170030CAR_RA,Carson,CAR,EF,CAR_EFork,Lahontan Cutthroat Trout,LCT,CARSON,East Fork,2017,Extracted DNA,/home/amilzz/amilzz/data/alignCDFW02_libPla3/Y170030CAR_RA.sort.flt.bam,bams/Y170030CAR_RA.sort.flt.bam,NA,1759810,0.118452,156038,Carson
Y170031CAR_RA,Carson,CAR,EF,CAR_EFork,Lahontan Cutthroat Trout,LCT,CARSON,East Fork,2017,Extracted DNA,/home/amilzz/amilzz/data/alignCDFW02_libPla3/Y170031CAR_RA.sort.flt.bam,bams/Y170031CAR_RA.sort.flt.bam,NA,1718254,0.115305,114482,Carson
Y170036CAR_RA,Carson,CAR,East Fork Golden Canyon Creek,CAR_EFGoldenCany,Lahontan Cutthroat Trout,LCT,CARSON,East Fork,2017,Extracted DNA,/home/amilzz/amilzz/data/alignCDFW02_libPla3/Y170036CAR_RA.sort.flt.bam,bams/Y170036CAR_RA.sort.flt.bam,NA,1765547,0.117674,161775,Carson
Y170041CAR_RA,Carson,CAR,East Fork Golden Canyon Creek,CAR_EFGoldenCany,Lahontan Cutthroat Trout,LCT,CARSON,East Fork,2017,Extracted DNA,/home/amilzz/amilzz/data/alignCDFW02_libPla3/Y170041CAR_RA.sort.flt.bam,bams/Y170041CAR_RA.sort.flt.bam,NA,1759546,0.118273,155774,Carson
Y170045CAR_RA,Carson,CAR,East Fork Murray Canyon Creek,CAR_EFMurray,Lahontan Cutthroat Trout,LCT,CARSON,East Fork,2017,Extracted DNA,/home/amilzz/amilzz/data/alignCDFW02_libPla3/Y170045CAR_RA.sort.flt.bam,bams/Y170045CAR_RA.sort.flt.bam,NA,1716436,0.114815,112664,Carson
Y170053CAR_RA,Carson,CAR,East Fork Murray Canyon Creek,CAR_EFMurray,Lahontan Cutthroat Trout,LCT,CARSON,East Fork,2017,Extracted DNA,/home/amilzz/amilzz/data/alignCDFW02_libPla3/Y170053CAR_RA.sort.flt.bam,bams/Y170053CAR_RA.sort.flt.bam,NA,1661865,0.111467,58093,Carson
Y170055CAR_RA,Carson,CAR,East Fork Murray Canyon Creek,CAR_EFMurray,Lahontan Cutthroat Trout,LCT,CARSON,East Fork,2017,Extracted DNA,/home/amilzz/amilzz/data/alignCDFW02_libPla3/Y170055CAR_RA.sort.flt.bam,bams/Y170055CAR_RA.sort.flt.bam,NA,1427007,0.0958173,176765,Carson
Y170062CAR_RA,Carson,CAR,East Fork Murray Canyon Creek,CAR_EFMurray,Lahontan Cutthroat Trout,LCT,CARSON,East Fork,2017,Extracted DNA,/home/amilzz/amilzz/data/alignCDFW02_libPla3/Y170062CAR_RA.sort.flt.bam,bams/Y170062CAR_RA.sort.flt.bam,NA,1470764,0.0986729,133008,Carson
Y170067CAR_RA,Carson,CAR,East Fork Murray Canyon Creek,CAR_EFMurray,Lahontan Cutthroat Trout,LCT,CARSON,East Fork,2017,Extracted DNA,/home/amilzz/amilzz/data/alignCDFW02_libPla3/Y170067CAR_RA.sort.flt.bam,bams/Y170067CAR_RA.sort.flt.bam,NA,1649165,0.110914,45393,Carson
Y170076CAR_RA,Carson,CAR,East Fork Poison Flat Creek,CAR_EFPoison,Lahontan Cutthroat Trout,LCT,CARSON,East Fork,2017,Extracted DNA,/home/amilzz/amilzz/data/alignCDFW02_libPla3/Y170076CAR_RA.sort.flt.bam,bams/Y170076CAR_RA.sort.flt.bam,NA,1741842,0.116529,138070,Carson
Y170077CAR_RA,Carson,CAR,East Fork Poison Flat Creek,CAR_EFPoison,Lahontan Cutthroat Trout,LCT,CARSON,East Fork,2017,Extracted DNA,/home/amilzz/amilzz/data/alignCDFW02_libPla3/Y170077CAR_RA.sort.flt.bam,bams/Y170077CAR_RA.sort.flt.bam,NA,1631047,0.107053,27275,Carson
Y170085CAR_RA,Carson,CAR,East Fork Poison Flat Creek,CAR_EFPoison,Lahontan Cutthroat Trout,LCT,CARSON,East Fork,2017,Extracted DNA,/home/amilzz/amilzz/data/alignCDFW03_libPla4/Y170085CAR_RA.sort.flt.bam,bams/Y170085CAR_RA.sort.flt.bam,NA,1727070,0.114443,123298,Carson
Y170087CAR_RA,Carson,CAR,East Fork Poison Flat Creek,CAR_EFPoison,Lahontan Cutthroat Trout,LCT,CARSON,East Fork,2017,Extracted DNA,/home/amilzz/amilzz/data/alignCDFW03_libPla4/Y170087CAR_RA.sort.flt.bam,bams/Y170087CAR_RA.sort.flt.bam,NA,1535095,0.102702,68677,Carson
Y170088CAR_RA,Carson,CAR,East Fork Poison Flat Creek,CAR_EFPoison,Lahontan Cutthroat Trout,LCT,CARSON,East Fork,2017,Extracted DNA,/home/amilzz/amilzz/data/alignCDFW03_libPla4/Y170088CAR_RA.sort.flt.bam,bams/Y170088CAR_RA.sort.flt.bam,NA,1617827,0.108569,14055,Carson
Y170090CAR_RA,Carson,CAR,East Fork Poison Flat Creek,CAR_EFPoison,Lahontan Cutthroat Trout,LCT,CARSON,East Fork,2017,Extracted DNA,/home/amilzz/amilzz/data/alignCDFW03_libPla4/Y170090CAR_RA.sort.flt.bam,bams/Y170090CAR_RA.sort.flt.bam,NA,1442106,0.0965573,161666,Carson
Y170095CAR_RA,Carson,CAR,East Fork Poison Flat Creek,CAR_EFPoison,Lahontan Cutthroat Trout,LCT,CARSON,East Fork,2017,Extracted DNA,/home/amilzz/amilzz/data/alignCDFW03_libPla4/Y170095CAR_RA.sort.flt.bam,bams/Y170095CAR_RA.sort.flt.bam,NA,1471472,0.0988964,132300,Carson
Y170098CAR_RA,Carson,CAR,East Fork Poison Flat Creek,CAR_EFPoison,Lahontan Cutthroat Trout,LCT,CARSON,East Fork,2017,Extracted DNA,/home/amilzz/amilzz/data/alignCDFW03_libPla4/Y170098CAR_RA.sort.flt.bam,bams/Y170098CAR_RA.sort.flt.bam,NA,1531247,0.102348,72525,Carson
Y170102CAR_RA,Carson,CAR,East Fork Poison Flat Creek,CAR_EFPoison,Lahontan Cutthroat Trout,LCT,CARSON,East Fork,2017,Extracted DNA,/home/amilzz/amilzz/data/alignCDFW03_libPla4/Y170102CAR_RA.sort.flt.bam,bams/Y170102CAR_RA.sort.flt.bam,NA,1493208,0.100173,110564,Carson
Y160002TKR_RA,Truckee,TKR,PC,TKR_Pole,Lahontan Cutthroat Trout,LCT,TRUCKEE,Pole Creek,2016,Extract,/home/amilzz/amilzz/data/alignCDFW04_libPla5/Y160002TKR_RA.sort.flt.bam,bams/Y160002TKR_RA.sort.flt.bam,NA,1541520,0.10232,62252,Truckee
Y160005TKR_RA,Truckee,TKR,PC,TKR_Pole,Lahontan Cutthroat Trout,LCT,TRUCKEE,Pole Creek,2016,Extract,/home/amilzz/amilzz/data/alignCDFW04_libPla5/Y160005TKR_RA.sort.flt.bam,bams/Y160005TKR_RA.sort.flt.bam,NA,1682535,0.111376,78763,Truckee
Y160007TKR_RA,Truckee,TKR,PC,TKR_Pole,Lahontan Cutthroat Trout,LCT,TRUCKEE,Pole Creek,2016,Extract,/home/amilzz/amilzz/data/alignCDFW04_libPla5/Y160007TKR_RA.sort.flt.bam,bams/Y160007TKR_RA.sort.flt.bam,NA,1484038,0.0986522,119734,Truckee
Y160010TKR_RA,Truckee,TKR,PC,TKR_Pole,Lahontan Cutthroat Trout,LCT,TRUCKEE,Pole Creek,2016,Extract,/home/amilzz/amilzz/data/alignCDFW04_libPla5/Y160010TKR_RA.sort.flt.bam,bams/Y160010TKR_RA.sort.flt.bam,NA,1756999,0.116583,153227,Truckee
Y160013TKR_RA,Truckee,TKR,PC,TKR_Pole,Lahontan Cutthroat Trout,LCT,TRUCKEE,Pole Creek,2016,Extract,/home/amilzz/amilzz/data/alignCDFW04_libPla5/Y160013TKR_RA.sort.flt.bam,bams/Y160013TKR_RA.sort.flt.bam,NA,1554189,0.10284,49583,Truckee
Y160014TKR_RA,Truckee,TKR,PC,TKR_Pole,Lahontan Cutthroat Trout,LCT,TRUCKEE,Pole Creek,2016,Extract,/home/amilzz/amilzz/data/alignCDFW04_libPla5/Y160014TKR_RA.sort.flt.bam,bams/Y160014TKR_RA.sort.flt.bam,NA,1685821,0.111716,82049,Truckee
Y160019TKR_RA,Truckee,TKR,PC,TKR_Pole,Lahontan Cutthroat Trout,LCT,TRUCKEE,Pole Creek,2016,Extract,/home/amilzz/amilzz/data/alignCDFW04_libPla5/Y160019TKR_RA.sort.flt.bam,bams/Y160019TKR_RA.sort.flt.bam,NA,1479959,0.09813,123813,Truckee
Y160020TKR_RA,Truckee,TKR,PC,TKR_Pole,Lahontan Cutthroat Trout,LCT,TRUCKEE,Pole Creek,2016,Extract,/home/amilzz/amilzz/data/alignCDFW04_libPla5/Y160020TKR_RA.sort.flt.bam,bams/Y160020TKR_RA.sort.flt.bam,NA,1521508,0.100845,82264,Truckee
Y160022TKR_RA,Truckee,TKR,PC,TKR_Pole,Lahontan Cutthroat Trout,LCT,TRUCKEE,Pole Creek,2016,Extract,/home/amilzz/amilzz/data/alignCDFW04_libPla5/Y160022TKR_RA.sort.flt.bam,bams/Y160022TKR_RA.sort.flt.bam,NA,1684136,0.111576,80364,Truckee
