SampleID,Group,watershedCode,Location,Metacode,Species,Species_code,SiteID,Creek,Sampling_Year,Starting_Material,Path,NewPath
Y170001CAR_RA,CARSON,CAR,EF,CAR_EFork,Lahontan Cutthroat Trout,LCT,CARSON,East Fork,2017,Extracted DNA,/home/amilzz/amilzz/data/alignCDFW02_libPla3/Y170001CAR_RA.sort.flt.bam,bamsY170001CAR_RA.sort.flt.bam
Y170002CAR_RA,CARSON,CAR,EF,CAR_EFork,Lahontan Cutthroat Trout,LCT,CARSON,East Fork,2017,Extracted DNA,/home/amilzz/amilzz/data/alignCDFW02_libPla3/Y170002CAR_RA.sort.flt.bam,bamsY170002CAR_RA.sort.flt.bam
Y170003CAR_RA,CARSON,CAR,EF,CAR_EFork,Lahontan Cutthroat Trout,LCT,CARSON,East Fork,2017,Extracted DNA,/home/amilzz/amilzz/data/alignCDFW02_libPla3/Y170003CAR_RA.sort.flt.bam,bamsY170003CAR_RA.sort.flt.bam
Y170004CAR_RA,CARSON,CAR,EF,CAR_EFork,Lahontan Cutthroat Trout,LCT,CARSON,East Fork,2017,Extracted DNA,/home/amilzz/amilzz/data/alignCDFW02_libPla3/Y170004CAR_RA.sort.flt.bam,bamsY170004CAR_RA.sort.flt.bam
Y170005CAR_RA,CARSON,CAR,EF,CAR_EFork,Lahontan Cutthroat Trout,LCT,CARSON,East Fork,2017,Extracted DNA,/home/amilzz/amilzz/data/alignCDFW02_libPla3/Y170005CAR_RA.sort.flt.bam,bamsY170005CAR_RA.sort.flt.bam
Y170006CAR_RA,CARSON,CAR,EF,CAR_EFork,Lahontan Cutthroat Trout,LCT,CARSON,East Fork,2017,Extracted DNA,/home/amilzz/amilzz/data/alignCDFW02_libPla3/Y170006CAR_RA.sort.flt.bam,bamsY170006CAR_RA.sort.flt.bam
Y170007CAR_RA,CARSON,CAR,EF,CAR_EFork,Lahontan Cutthroat Trout,LCT,CARSON,East Fork,2017,Extracted DNA,/home/amilzz/amilzz/data/alignCDFW02_libPla3/Y170007CAR_RA.sort.flt.bam,bamsY170007CAR_RA.sort.flt.bam
Y170008CAR_RA,CARSON,CAR,EF,CAR_EFork,Lahontan Cutthroat Trout,LCT,CARSON,East Fork,2017,Extracted DNA,/home/amilzz/amilzz/data/alignCDFW02_libPla3/Y170008CAR_RA.sort.flt.bam,bamsY170008CAR_RA.sort.flt.bam
Y170009CAR_RA,CARSON,CAR,EF,CAR_EFork,Lahontan Cutthroat Trout,LCT,CARSON,East Fork,2017,Extracted DNA,/home/amilzz/amilzz/data/alignCDFW02_libPla3/Y170009CAR_RA.sort.flt.bam,bamsY170009CAR_RA.sort.flt.bam
Y170010CAR_RA,CARSON,CAR,EF,CAR_EFork,Lahontan Cutthroat Trout,LCT,CARSON,East Fork,2017,Extracted DNA,/home/amilzz/amilzz/data/alignCDFW02_libPla3/Y170010CAR_RA.sort.flt.bam,bamsY170010CAR_RA.sort.flt.bam
Y170011CAR_RA,CARSON,CAR,EF,CAR_EFork,Lahontan Cutthroat Trout,LCT,CARSON,East Fork,2017,Extracted DNA,/home/amilzz/amilzz/data/alignCDFW02_libPla3/Y170011CAR_RA.sort.flt.bam,bamsY170011CAR_RA.sort.flt.bam
Y170012CAR_RA,CARSON,CAR,EF,CAR_EFork,Lahontan Cutthroat Trout,LCT,CARSON,East Fork,2017,Extracted DNA,/home/amilzz/amilzz/data/alignCDFW02_libPla3/Y170012CAR_RA.sort.flt.bam,bamsY170012CAR_RA.sort.flt.bam
Y170013CAR_RA,CARSON,CAR,EF,CAR_EFork,Lahontan Cutthroat Trout,LCT,CARSON,East Fork,2017,Extracted DNA,/home/amilzz/amilzz/data/alignCDFW02_libPla3/Y170013CAR_RA.sort.flt.bam,bamsY170013CAR_RA.sort.flt.bam
Y170014CAR_RA,CARSON,CAR,EF,CAR_EFork,Lahontan Cutthroat Trout,LCT,CARSON,East Fork,2017,Extracted DNA,/home/amilzz/amilzz/data/alignCDFW02_libPla3/Y170014CAR_RA.sort.flt.bam,bamsY170014CAR_RA.sort.flt.bam
Y170015CAR_RA,CARSON,CAR,EF,CAR_EFork,Lahontan Cutthroat Trout,LCT,CARSON,East Fork,2017,Extracted DNA,/home/amilzz/amilzz/data/alignCDFW02_libPla3/Y170015CAR_RA.sort.flt.bam,bamsY170015CAR_RA.sort.flt.bam
Y170016CAR_RA,CARSON,CAR,EF,CAR_EFork,Lahontan Cutthroat Trout,LCT,CARSON,East Fork,2017,Extracted DNA,/home/amilzz/amilzz/data/alignCDFW02_libPla3/Y170016CAR_RA.sort.flt.bam,bamsY170016CAR_RA.sort.flt.bam
Y170017CAR_RA,CARSON,CAR,EF,CAR_EFork,Lahontan Cutthroat Trout,LCT,CARSON,East Fork,2017,Extracted DNA,/home/amilzz/amilzz/data/alignCDFW02_libPla3/Y170017CAR_RA.sort.flt.bam,bamsY170017CAR_RA.sort.flt.bam
Y170018CAR_RA,CARSON,CAR,EF,CAR_EFork,Lahontan Cutthroat Trout,LCT,CARSON,East Fork,2017,Extracted DNA,/home/amilzz/amilzz/data/alignCDFW02_libPla3/Y170018CAR_RA.sort.flt.bam,bamsY170018CAR_RA.sort.flt.bam
Y170019CAR_RA,CARSON,CAR,EF,CAR_EFork,Lahontan Cutthroat Trout,LCT,CARSON,East Fork,2017,Extracted DNA,/home/amilzz/amilzz/data/alignCDFW02_libPla3/Y170019CAR_RA.sort.flt.bam,bamsY170019CAR_RA.sort.flt.bam
Y170020CAR_RA,CARSON,CAR,EF,CAR_EFork,Lahontan Cutthroat Trout,LCT,CARSON,East Fork,2017,Extracted DNA,/home/amilzz/amilzz/data/alignCDFW02_libPla3/Y170020CAR_RA.sort.flt.bam,bamsY170020CAR_RA.sort.flt.bam
Y170021CAR_RA,CARSON,CAR,EF,CAR_EFork,Lahontan Cutthroat Trout,LCT,CARSON,East Fork,2017,Extracted DNA,/home/amilzz/amilzz/data/alignCDFW02_libPla3/Y170021CAR_RA.sort.flt.bam,bamsY170021CAR_RA.sort.flt.bam
Y170022CAR_RA,CARSON,CAR,EF,CAR_EFork,Lahontan Cutthroat Trout,LCT,CARSON,East Fork,2017,Extracted DNA,/home/amilzz/amilzz/data/alignCDFW02_libPla3/Y170022CAR_RA.sort.flt.bam,bamsY170022CAR_RA.sort.flt.bam
Y170023CAR_RA,CARSON,CAR,EF,CAR_EFork,Lahontan Cutthroat Trout,LCT,CARSON,East Fork,2017,Extracted DNA,/home/amilzz/amilzz/data/alignCDFW02_libPla3/Y170023CAR_RA.sort.flt.bam,bamsY170023CAR_RA.sort.flt.bam
Y170024CAR_RA,CARSON,CAR,EF,CAR_EFork,Lahontan Cutthroat Trout,LCT,CARSON,East Fork,2017,Extracted DNA,/home/amilzz/amilzz/data/alignCDFW02_libPla3/Y170024CAR_RA.sort.flt.bam,bamsY170024CAR_RA.sort.flt.bam
Y170025CAR_RA,CARSON,CAR,EF,CAR_EFork,Lahontan Cutthroat Trout,LCT,CARSON,East Fork,2017,Extracted DNA,/home/amilzz/amilzz/data/alignCDFW02_libPla3/Y170025CAR_RA.sort.flt.bam,bamsY170025CAR_RA.sort.flt.bam
Y170026CAR_RA,CARSON,CAR,EF,CAR_EFork,Lahontan Cutthroat Trout,LCT,CARSON,East Fork,2017,Extracted DNA,/home/amilzz/amilzz/data/alignCDFW02_libPla3/Y170026CAR_RA.sort.flt.bam,bamsY170026CAR_RA.sort.flt.bam
Y170027CAR_RA,CARSON,CAR,EF,CAR_EFork,Lahontan Cutthroat Trout,LCT,CARSON,East Fork,2017,Extracted DNA,/home/amilzz/amilzz/data/alignCDFW02_libPla3/Y170027CAR_RA.sort.flt.bam,bamsY170027CAR_RA.sort.flt.bam
Y170028CAR_RA,CARSON,CAR,EF,CAR_EFork,Lahontan Cutthroat Trout,LCT,CARSON,East Fork,2017,Extracted DNA,/home/amilzz/amilzz/data/alignCDFW02_libPla3/Y170028CAR_RA.sort.flt.bam,bamsY170028CAR_RA.sort.flt.bam
Y170029CAR_RA,CARSON,CAR,EF,CAR_EFork,Lahontan Cutthroat Trout,LCT,CARSON,East Fork,2017,Extracted DNA,/home/amilzz/amilzz/data/alignCDFW02_libPla3/Y170029CAR_RA.sort.flt.bam,bamsY170029CAR_RA.sort.flt.bam
Y170030CAR_RA,CARSON,CAR,EF,CAR_EFork,Lahontan Cutthroat Trout,LCT,CARSON,East Fork,2017,Extracted DNA,/home/amilzz/amilzz/data/alignCDFW02_libPla3/Y170030CAR_RA.sort.flt.bam,bamsY170030CAR_RA.sort.flt.bam
Y170031CAR_RA,CARSON,CAR,EF,CAR_EFork,Lahontan Cutthroat Trout,LCT,CARSON,East Fork,2017,Extracted DNA,/home/amilzz/amilzz/data/alignCDFW02_libPla3/Y170031CAR_RA.sort.flt.bam,bamsY170031CAR_RA.sort.flt.bam
Y170032CAR_RA,CARSON,CAR,EF,CAR_EFork,Lahontan Cutthroat Trout,LCT,CARSON,East Fork,2017,Extracted DNA,/home/amilzz/amilzz/data/alignCDFW02_libPla3/Y170032CAR_RA.sort.flt.bam,bamsY170032CAR_RA.sort.flt.bam
Y170033CAR_RA,CARSON,CAR,East Fork Golden Canyon Creek,CAR_EFGoldenCany,Lahontan Cutthroat Trout,LCT,CARSON,East Fork,2017,Extracted DNA,/home/amilzz/amilzz/data/alignCDFW02_libPla3/Y170033CAR_RA.sort.flt.bam,bamsY170033CAR_RA.sort.flt.bam
Y170034CAR_RA,CARSON,CAR,East Fork Golden Canyon Creek,CAR_EFGoldenCany,Lahontan Cutthroat Trout,LCT,CARSON,East Fork,2017,Extracted DNA,/home/amilzz/amilzz/data/alignCDFW02_libPla3/Y170034CAR_RA.sort.flt.bam,bamsY170034CAR_RA.sort.flt.bam
Y170035CAR_RA,CARSON,CAR,East Fork Golden Canyon Creek,CAR_EFGoldenCany,Lahontan Cutthroat Trout,LCT,CARSON,East Fork,2017,Extracted DNA,/home/amilzz/amilzz/data/alignCDFW02_libPla3/Y170035CAR_RA.sort.flt.bam,bamsY170035CAR_RA.sort.flt.bam
Y170036CAR_RA,CARSON,CAR,East Fork Golden Canyon Creek,CAR_EFGoldenCany,Lahontan Cutthroat Trout,LCT,CARSON,East Fork,2017,Extracted DNA,/home/amilzz/amilzz/data/alignCDFW02_libPla3/Y170036CAR_RA.sort.flt.bam,bamsY170036CAR_RA.sort.flt.bam
Y170037CAR_RA,CARSON,CAR,East Fork Golden Canyon Creek,CAR_EFGoldenCany,Lahontan Cutthroat Trout,LCT,CARSON,East Fork,2017,Extracted DNA,/home/amilzz/amilzz/data/alignCDFW02_libPla3/Y170037CAR_RA.sort.flt.bam,bamsY170037CAR_RA.sort.flt.bam
Y170038CAR_RA,CARSON,CAR,East Fork Golden Canyon Creek,CAR_EFGoldenCany,Lahontan Cutthroat Trout,LCT,CARSON,East Fork,2017,Extracted DNA,/home/amilzz/amilzz/data/alignCDFW02_libPla3/Y170038CAR_RA.sort.flt.bam,bamsY170038CAR_RA.sort.flt.bam
Y170039CAR_RA,CARSON,CAR,East Fork Golden Canyon Creek,CAR_EFGoldenCany,Lahontan Cutthroat Trout,LCT,CARSON,East Fork,2017,Extracted DNA,/home/amilzz/amilzz/data/alignCDFW02_libPla3/Y170039CAR_RA.sort.flt.bam,bamsY170039CAR_RA.sort.flt.bam
Y170040CAR_RA,CARSON,CAR,East Fork Golden Canyon Creek,CAR_EFGoldenCany,Lahontan Cutthroat Trout,LCT,CARSON,East Fork,2017,Extracted DNA,/home/amilzz/amilzz/data/alignCDFW02_libPla3/Y170040CAR_RA.sort.flt.bam,bamsY170040CAR_RA.sort.flt.bam
Y170041CAR_RA,CARSON,CAR,East Fork Golden Canyon Creek,CAR_EFGoldenCany,Lahontan Cutthroat Trout,LCT,CARSON,East Fork,2017,Extracted DNA,/home/amilzz/amilzz/data/alignCDFW02_libPla3/Y170041CAR_RA.sort.flt.bam,bamsY170041CAR_RA.sort.flt.bam
Y170042CAR_RA,CARSON,CAR,East Fork Golden Canyon Creek,CAR_EFGoldenCany,Lahontan Cutthroat Trout,LCT,CARSON,East Fork,2017,Extracted DNA,/home/amilzz/amilzz/data/alignCDFW02_libPla3/Y170042CAR_RA.sort.flt.bam,bamsY170042CAR_RA.sort.flt.bam
Y170043CAR_RA,CARSON,CAR,East Fork Golden Canyon Creek,CAR_EFGoldenCany,Lahontan Cutthroat Trout,LCT,CARSON,East Fork,2017,Extracted DNA,/home/amilzz/amilzz/data/alignCDFW02_libPla3/Y170043CAR_RA.sort.flt.bam,bamsY170043CAR_RA.sort.flt.bam
Y170044CAR_RA,CARSON,CAR,East Fork Golden Canyon Creek,CAR_EFGoldenCany,Lahontan Cutthroat Trout,LCT,CARSON,East Fork,2017,Extracted DNA,/home/amilzz/amilzz/data/alignCDFW02_libPla3/Y170044CAR_RA.sort.flt.bam,bamsY170044CAR_RA.sort.flt.bam
Y170045CAR_RA,CARSON,CAR,East Fork Murray Canyon Creek,CAR_EFMurray,Lahontan Cutthroat Trout,LCT,CARSON,East Fork,2017,Extracted DNA,/home/amilzz/amilzz/data/alignCDFW02_libPla3/Y170045CAR_RA.sort.flt.bam,bamsY170045CAR_RA.sort.flt.bam
Y170046CAR_RA,CARSON,CAR,East Fork Murray Canyon Creek,CAR_EFMurray,Lahontan Cutthroat Trout,LCT,CARSON,East Fork,2017,Extracted DNA,/home/amilzz/amilzz/data/alignCDFW02_libPla3/Y170046CAR_RA.sort.flt.bam,bamsY170046CAR_RA.sort.flt.bam
Y170047CAR_RA,CARSON,CAR,East Fork Murray Canyon Creek,CAR_EFMurray,Lahontan Cutthroat Trout,LCT,CARSON,East Fork,2017,Extracted DNA,/home/amilzz/amilzz/data/alignCDFW02_libPla3/Y170047CAR_RA.sort.flt.bam,bamsY170047CAR_RA.sort.flt.bam
Y170048CAR_RA,CARSON,CAR,East Fork Murray Canyon Creek,CAR_EFMurray,Lahontan Cutthroat Trout,LCT,CARSON,East Fork,2017,Extracted DNA,/home/amilzz/amilzz/data/alignCDFW02_libPla3/Y170048CAR_RA.sort.flt.bam,bamsY170048CAR_RA.sort.flt.bam
Y170049CAR_RA,CARSON,CAR,East Fork Murray Canyon Creek,CAR_EFMurray,Lahontan Cutthroat Trout,LCT,CARSON,East Fork,2017,Extracted DNA,/home/amilzz/amilzz/data/alignCDFW02_libPla3/Y170049CAR_RA.sort.flt.bam,bamsY170049CAR_RA.sort.flt.bam
Y170050CAR_RA,CARSON,CAR,East Fork Murray Canyon Creek,CAR_EFMurray,Lahontan Cutthroat Trout,LCT,CARSON,East Fork,2017,Extracted DNA,/home/amilzz/amilzz/data/alignCDFW02_libPla3/Y170050CAR_RA.sort.flt.bam,bamsY170050CAR_RA.sort.flt.bam
Y170051CAR_RA,CARSON,CAR,East Fork Murray Canyon Creek,CAR_EFMurray,Lahontan Cutthroat Trout,LCT,CARSON,East Fork,2017,Extracted DNA,/home/amilzz/amilzz/data/alignCDFW02_libPla3/Y170051CAR_RA.sort.flt.bam,bamsY170051CAR_RA.sort.flt.bam
Y170052CAR_RA,CARSON,CAR,East Fork Murray Canyon Creek,CAR_EFMurray,Lahontan Cutthroat Trout,LCT,CARSON,East Fork,2017,Extracted DNA,/home/amilzz/amilzz/data/alignCDFW02_libPla3/Y170052CAR_RA.sort.flt.bam,bamsY170052CAR_RA.sort.flt.bam
Y170053CAR_RA,CARSON,CAR,East Fork Murray Canyon Creek,CAR_EFMurray,Lahontan Cutthroat Trout,LCT,CARSON,East Fork,2017,Extracted DNA,/home/amilzz/amilzz/data/alignCDFW02_libPla3/Y170053CAR_RA.sort.flt.bam,bamsY170053CAR_RA.sort.flt.bam
Y170054CAR_RA,CARSON,CAR,East Fork Murray Canyon Creek,CAR_EFMurray,Lahontan Cutthroat Trout,LCT,CARSON,East Fork,2017,Extracted DNA,/home/amilzz/amilzz/data/alignCDFW02_libPla3/Y170054CAR_RA.sort.flt.bam,bamsY170054CAR_RA.sort.flt.bam
Y170055CAR_RA,CARSON,CAR,East Fork Murray Canyon Creek,CAR_EFMurray,Lahontan Cutthroat Trout,LCT,CARSON,East Fork,2017,Extracted DNA,/home/amilzz/amilzz/data/alignCDFW02_libPla3/Y170055CAR_RA.sort.flt.bam,bamsY170055CAR_RA.sort.flt.bam
Y170056CAR_RA,CARSON,CAR,East Fork Murray Canyon Creek,CAR_EFMurray,Lahontan Cutthroat Trout,LCT,CARSON,East Fork,2017,Extracted DNA,/home/amilzz/amilzz/data/alignCDFW02_libPla3/Y170056CAR_RA.sort.flt.bam,bamsY170056CAR_RA.sort.flt.bam
Y170057CAR_RA,CARSON,CAR,East Fork Murray Canyon Creek,CAR_EFMurray,Lahontan Cutthroat Trout,LCT,CARSON,East Fork,2017,Extracted DNA,/home/amilzz/amilzz/data/alignCDFW02_libPla3/Y170057CAR_RA.sort.flt.bam,bamsY170057CAR_RA.sort.flt.bam
Y170058CAR_RA,CARSON,CAR,East Fork Murray Canyon Creek,CAR_EFMurray,Lahontan Cutthroat Trout,LCT,CARSON,East Fork,2017,Extracted DNA,/home/amilzz/amilzz/data/alignCDFW02_libPla3/Y170058CAR_RA.sort.flt.bam,bamsY170058CAR_RA.sort.flt.bam
Y170059CAR_RA,CARSON,CAR,East Fork Murray Canyon Creek,CAR_EFMurray,Lahontan Cutthroat Trout,LCT,CARSON,East Fork,2017,Extracted DNA,/home/amilzz/amilzz/data/alignCDFW02_libPla3/Y170059CAR_RA.sort.flt.bam,bamsY170059CAR_RA.sort.flt.bam
Y170060CAR_RA,CARSON,CAR,East Fork Murray Canyon Creek,CAR_EFMurray,Lahontan Cutthroat Trout,LCT,CARSON,East Fork,2017,Extracted DNA,/home/amilzz/amilzz/data/alignCDFW02_libPla3/Y170060CAR_RA.sort.flt.bam,bamsY170060CAR_RA.sort.flt.bam
Y170061CAR_RA,CARSON,CAR,East Fork Murray Canyon Creek,CAR_EFMurray,Lahontan Cutthroat Trout,LCT,CARSON,East Fork,2017,Extracted DNA,/home/amilzz/amilzz/data/alignCDFW02_libPla3/Y170061CAR_RA.sort.flt.bam,bamsY170061CAR_RA.sort.flt.bam
Y170062CAR_RA,CARSON,CAR,East Fork Murray Canyon Creek,CAR_EFMurray,Lahontan Cutthroat Trout,LCT,CARSON,East Fork,2017,Extracted DNA,/home/amilzz/amilzz/data/alignCDFW02_libPla3/Y170062CAR_RA.sort.flt.bam,bamsY170062CAR_RA.sort.flt.bam
Y170063CAR_RA,CARSON,CAR,East Fork Murray Canyon Creek,CAR_EFMurray,Lahontan Cutthroat Trout,LCT,CARSON,East Fork,2017,Extracted DNA,/home/amilzz/amilzz/data/alignCDFW02_libPla3/Y170063CAR_RA.sort.flt.bam,bamsY170063CAR_RA.sort.flt.bam
Y170064CAR_RA,CARSON,CAR,East Fork Murray Canyon Creek,CAR_EFMurray,Lahontan Cutthroat Trout,LCT,CARSON,East Fork,2017,Extracted DNA,/home/amilzz/amilzz/data/alignCDFW02_libPla3/Y170064CAR_RA.sort.flt.bam,bamsY170064CAR_RA.sort.flt.bam
Y170065CAR_RA,CARSON,CAR,East Fork Murray Canyon Creek,CAR_EFMurray,Lahontan Cutthroat Trout,LCT,CARSON,East Fork,2017,Extracted DNA,/home/amilzz/amilzz/data/alignCDFW02_libPla3/Y170065CAR_RA.sort.flt.bam,bamsY170065CAR_RA.sort.flt.bam
Y170066CAR_RA,CARSON,CAR,East Fork Murray Canyon Creek,CAR_EFMurray,Lahontan Cutthroat Trout,LCT,CARSON,East Fork,2017,Extracted DNA,/home/amilzz/amilzz/data/alignCDFW02_libPla3/Y170066CAR_RA.sort.flt.bam,bamsY170066CAR_RA.sort.flt.bam
Y170067CAR_RA,CARSON,CAR,East Fork Murray Canyon Creek,CAR_EFMurray,Lahontan Cutthroat Trout,LCT,CARSON,East Fork,2017,Extracted DNA,/home/amilzz/amilzz/data/alignCDFW02_libPla3/Y170067CAR_RA.sort.flt.bam,bamsY170067CAR_RA.sort.flt.bam
Y170068CAR_RA,CARSON,CAR,East Fork Murray Canyon Creek,CAR_EFMurray,Lahontan Cutthroat Trout,LCT,CARSON,East Fork,2017,Extracted DNA,/home/amilzz/amilzz/data/alignCDFW02_libPla3/Y170068CAR_RA.sort.flt.bam,bamsY170068CAR_RA.sort.flt.bam
Y170069CAR_RA,CARSON,CAR,East Fork Murray Canyon Creek,CAR_EFMurray,Lahontan Cutthroat Trout,LCT,CARSON,East Fork,2017,Extracted DNA,/home/amilzz/amilzz/data/alignCDFW02_libPla3/Y170069CAR_RA.sort.flt.bam,bamsY170069CAR_RA.sort.flt.bam
Y170070CAR_RA,CARSON,CAR,East Fork Murray Canyon Creek,CAR_EFMurray,Lahontan Cutthroat Trout,LCT,CARSON,East Fork,2017,Extracted DNA,/home/amilzz/amilzz/data/alignCDFW02_libPla3/Y170070CAR_RA.sort.flt.bam,bamsY170070CAR_RA.sort.flt.bam
Y170071CAR_RA,CARSON,CAR,East Fork Murray Canyon Creek,CAR_EFMurray,Lahontan Cutthroat Trout,LCT,CARSON,East Fork,2017,Extracted DNA,/home/amilzz/amilzz/data/alignCDFW02_libPla3/Y170071CAR_RA.sort.flt.bam,bamsY170071CAR_RA.sort.flt.bam
Y170072CAR_RA,CARSON,CAR,East Fork Poison Flat Creek,CAR_EFPoison,Lahontan Cutthroat Trout,LCT,CARSON,East Fork,2017,Extracted DNA,/home/amilzz/amilzz/data/alignCDFW02_libPla3/Y170072CAR_RA.sort.flt.bam,bamsY170072CAR_RA.sort.flt.bam
